USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cc/Pn,Cc/Pn,70% CULTIVO DE CICLO CORTO CON 30% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,940146
Pn/Er,Pn/Er,70% PASTO NATURAL CON 30% AFLORAMIENTO ROCOSO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,7326653
Va/Pc,Va/Pc,70% VEGETACION ARBUSTIVA CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,463462
Bi/Pn,Bi/Pn,70% BOSQUE INTERVENIDO CON 30% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,2646253
Pn/Pc,Pn/Pc,70% PASTO NATURAL CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,365190
Cm/Cp,Cm/Cp,70% CULTIVO DE MAIZ CON 30% CULTIVO DE PAPA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1815062
Cc/Cx,Cc/Cx,70% CULTIVO DE CICLO CORTO CON 30% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1521792
Pr-Va,Pr-Va,50% PARAMO CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,212266
Pc/Va,Pc/Va,70% PASTO CULTIVADO CON 30% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,777293
Cm/Bp,Cm/Bp,70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3808042
Cc/Pc,Cc/Pc,70% CULTIVO DE CICLO CORTO CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1198448
Bi-Va,Bi-Va,50% BOSQUE INTERVENIDO CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3074780
Cc-Cx,Cc-Cx,50% CULTIVO DE CICLO CORTO CON 50% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,8214816
Cm,Cm,100% CULTIVO DE MAIZ,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,307666
Bi-Pc,Bi-Pc,50% BOSQUE INTERVENIDO CON 50% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,178840
Pn/Ap,Pn/Ap,PASTO NATURAL EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1560605
Pc-Va,Pc-Va,50% PASTO CULTIVADO CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,770679
Va/Cc,Va/Cc,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,654547
Cc,Cc,100% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,4472146
Pn/Va,Pn/Va,70% PASTO NATURAL CON 30% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1011108
Cx/Ap,Cx/Ap,ARBORICULTURA TROPICAL EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,702516
Cx-Va,Cx-Va,50% ARBORICULTURA TROPICAL CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,5548
Pn/Af,Pn/Af,PASTO NATURAL EN AREAS CON FUERTE PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1873499
Cm-Cr,Cm-Cr,50% CULTIVO DE MAIZ CON 50% CULTIVO DE FRUTALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1676250
Pc/Cp,Pc/Cp,70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,524962
Cx,Cx,100% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1058255
Ae,Ae,AREA EROSIONADA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,5760529
Bn,Bn,100% BOSQUE NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,38524994
Cc-Va,Cc-Va,50% CULTIVO DE CICLO CORTO CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,4627388
Va/Bi,Va/Bi,70% VEGETACION ARBUSTIVA CON 30% BOSQUE INTERVENIDO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,328627
Bp/Va,Bp/Va,70% BOSQUE PLANTADO CON 30% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,771033
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3312982
