"","Location","cobertura","tipo","temporalid","pisoclimat","cubierta","tipo2","tipo3","asociacion","rotacion1","rotacion2","sistemadep","tamanoparc","riego","uso","alteracion","origenagua","observacio","control","zhc","zona","shape_leng","Shape_Area","superficie","area_recal","area","Version..1.0","AREA"
"85","BQ2","Vegetacion Arbustiva","Vegetacion arbustiva humeda","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",1715.35333155,36528.9983195,3.652899832,203525,36986,NA,NA
"86","BQ2","Vegetacion Herbacea","Vegetacion herbacea humeda","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Medianamente alterado","*No Aplica*","",1,"No aplicable","No aplicable",19644.4748677,4261942.82307,426.194282307,2609133,2546303,NA,NA
"87","Cumbi1","Area Poblada","Poblado (nucleo urbano poblado)","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Habitacional","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",10908.8150945,407557.844046,40.7557844046,223383,2677,NA,NA
"88","Cumbi1","Cuerpo Agua","Rio","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Riego consumo energia","*No Aplica*","Natural","",1,"No aplicable","No aplicable",285078.48963,4526069.72872,452.606972872,52401,52401,NA,NA
"89","Cumbi1","Cultivo","quinua","Ciclo corto","Templado","Sin cubierta","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Agricola extensivo","*No Aplica*","*No Aplica*","<Null>",1,"Ciclo corto-Con riego-Parcela pequeña-Templado","Zona 31",944.459973069,47458.355448,4.7458355448,927518,48050,NA,NA
"90","Cumbi1","Infraestructura Antropica","COMPLEJO RECREACIONAL","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","Ocio","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",538.729468137,15840.2687595,1.584026876,16038,16038,NA,NA
"91","Cumbi1","Pastizal","Pasto de corte (forraje)","Semipermanente","Templado","*No Aplica*","MAIZ SUAVE","PAPA","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Pecuario bovino extensivo","*No Aplica*","*No Aplica*","",1,"Mosaicos-Con riego-Parcela pequeña-Templado","Zona 49",60303.6507503,9271158.59366,927.115859366,7169028,5000913,NA,NA
"92","Cumbi1","Plantacion Forestal","Eucalipto","Permanente","No aplica","*No Aplica*","No Aplica","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","*No Aplica*","No aplica","*No Aplica*","Forestal para madera","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1046.12625303,39971.912182,3.9971912182,219455,40470,NA,NA
"93","Cumbi1","Vegetacion Herbacea","Vegetacion herbacea seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",198998.510883,23275883.383,2327.5883383,1629141,898709,NA,NA
"94","Cumbi2","Cuerpo Agua","Rio","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Riego consumo energia","*No Aplica*","Natural","",1,"No aplicable","No aplicable",285078.48963,4526069.72872,452.606972872,51212,51212,NA,NA
