USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Bi/Pn,Bi/Pn,70% BOSQUE INTERVENIDO CON 30% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,3802108
Pc-Va,Pc-Va,50% PASTO CULTIVADO CON 50% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2967778
Cc,Cc,100% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,4150426
Pc/Va,Pc/Va,70% PASTO CULTIVADO CON 30% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2762826
Cm/Bp,Cm/Bp,70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,3900242
Cc/Pc,Cc/Pc,70% CULTIVO DE CICLO CORTO CON 30% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,3645937
Bi-Va,Bi-Va,50% BOSQUE INTERVENIDO CON 50% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,6717794
Cm,Cm,100% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,9124711
Pc-Pn,Pc-Pn,50% PASTO CULTIVADO CON 50% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,11596527
Va/Cc,Va/Cc,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,568572
Cc/Cd,Cc/Cd,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE CEBADA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,5320415
Pn/Va,Pn/Va,70% PASTO NATURAL CON 30% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,9057412
Va/Bi,Va/Bi,70% VEGETACION ARBUSTIVA CON 30% BOSQUE INTERVENIDO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1166967
Bn,Bn,100% BOSQUE NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,6322144
Cc-Va,Cc-Va,50% CULTIVO DE CICLO CORTO CON 50% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,5217897
Bp-Pc,Bp-Pc,50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1255495
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,420536
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,4217877
Va,Va,100% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,6301708
Cc-Pn,Cc-Pn,50% CULTIVO DE CICLO CORTO CON 50% PASTO NATURAL,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,21504020
Pn-Va,Pn-Va,50% PASTO NATURAL CON 50% VEGETACION ARBUSTIVA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,8526765
Pc/Cc,Pc/Cc,70% PASTO CULTIVADO CON 30% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,17478046
Ce,Ce,100% CULTIVO DE CEREALES,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2585579
Cc-Cm,Cc-Cm,50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE MAIZ,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2272300
Cd,Cd,100% CULTIVO DE CEBADA,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1429612
Pn/Cc,Pn/Cc,70% PASTO NATURAL CON 30% CULTIVO DE CICLO CORTO,020250,CHILLANES,,,,CHILLANES,,BOLIVAR,020250,CHILLANES,0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,16943030
